zip_code,population,median_income,median_age
00601,16834.0,17526.0,44.0
00602,37642.0,20260.0,45.2
00603,49075.0,17703.0,45.0
00606,5590.0,19603.0,46.2
00610,25542.0,22796.0,44.4
00611,1315.0,22525.0,48.1
00612,63312.0,22305.0,44.4
00616,9625.0,23652.0,46.7
00617,22573.0,20328.0,42.6
00622,7577.0,22818.0,50.2
00623,39406.0,23132.0,45.4
00624,21648.0,20101.0,40.1
00627,32733.0,23263.0,44.5
00631,1431.0,15658.0,42.1
00636,1057.0,,29.7
00637,22882.0,20568.0,45.1
00638,17605.0,19796.0,45.6
00641,24299.0,17673.0,45.9
00646,35926.0,31330.0,42.5
00647,4702.0,17143.0,46.4
00650,13767.0,20363.0,41.1
00652,3924.0,26148.0,44.5
00653,8980.0,13777.0,44.7
00656,18121.0,21456.0,44.9
00659,37066.0,23899.0,44.7
00660,15483.0,22556.0,48.9
00662,40480.0,20283.0,44.3
00664,14967.0,17966.0,41.9
00667,23370.0,16889.0,47.4
00669,27529.0,18838.0,44.5
00670,8746.0,16644.0,44.0
00674,39385.0,20088.0,44.0
00676,36683.0,20160.0,42.2
00677,15304.0,26404.0,48.7
00678,25039.0,19558.0,44.4
00680,43173.0,16535.0,45.6
00682,30414.0,17385.0,38.0
00683,29547.0,18132.0,46.9
00685,40346.0,17481.0,45.7
00687,28659.0,22282.0,41.5
00688,11478.0,17273.0,42.5
00690,5781.0,23343.0,36.6
00692,33302.0,25289.0,41.4
00693,55570.0,23791.0,43.9
00694,98.0,,73.7
00698,33506.0,19818.0,45.6
00703,24475.0,23045.0,44.1
00704,6831.0,19845.0,31.7
00705,24401.0,22679.0,45.7
00707,10487.0,21765.0,46.0
00714,15797.0,18496.0,41.9
00715,2040.0,16250.0,54.2
00716,27166.0,20184.0,46.7
00717,15029.0,14164.0,44.9
00718,23289.0,20414.0,39.7
00719,29523.0,20533.0,42.4
00720,20816.0,16751.0,41.2
00723,15978.0,20967.0,47.2
00725,77244.0,25786.0,44.8
00727,53258.0,33678.0,42.8
00728,38590.0,21239.0,40.4
00729,47826.0,26978.0,41.9
00730,32267.0,17517.0,44.4
00731,10473.0,16944.0,47.9
00735,11164.0,23125.0,46.0
00736,45867.0,27158.0,44.4
00738,30093.0,24643.0,44.2
00739,34678.0,24887.0,42.8
00740,2034.0,18784.0,34.0
00741,3627.0,23821.0,47.1
00745,47494.0,26189.0,43.8
00751,19570.0,20241.0,45.3
00754,36576.0,19528.0,43.7
00757,20048.0,22764.0,40.6
00765,8199.0,17062.0,45.3
00766,22053.0,22511.0,43.1
00767,30779.0,20126.0,45.7
00769,34374.0,20236.0,44.5
00771,34964.0,23343.0,42.8
00772,17316.0,17209.0,42.8
00773,17716.0,22585.0,44.5
00775,1186.0,25483.0,44.6
00777,37726.0,26052.0,39.9
00778,40476.0,39484.0,41.2
00780,13908.0,26075.0,39.6
00782,18639.0,16221.0,41.2
00783,34205.0,21701.0,41.8
00784,35917.0,19199.0,40.6
00786,154.0,,61.3
00791,46537.0,26002.0,46.0
00794,28335.0,21278.0,39.4
00795,42900.0,22579.0,41.9
00901,8220.0,27926.0,46.0
00906,148.0,,35.2
